Country,dungeons and dragons: (3/27/20 - 3/27/25)
Guam,100
Faroe Islands,98
Iceland,96
Isle of Man,95
United States,95
Canada,93
Australia,92
New Zealand,87
United Kingdom,85
Guernsey,80
Gibraltar,75
Northern Mariana Islands,74
Ireland,74
Denmark,73
Jersey,72
Cayman Islands,72
Hungary,70
Norway,61
U.S. Virgin Islands,60
Sweden,59
Netherlands,56
Brunei,56
Singapore,56
Bermuda,56
Puerto Rico,52
Germany,52
Seychelles,51
Czechia,50
Malta,50
Trinidad & Tobago,48
Samoa,47
Austria,45
Barbados,43
Guyana,43
Greenland,42
Philippines,42
Maldives,41
Italy,41
Finland,41
Åland Islands,41
Estonia,38
Slovakia,38
St. Helena,37
Aruba,37
Fiji,37
Sint Maarten,36
Brazil,36
South Africa,36
Spain,36
Switzerland,35
Belgium,35
Portugal,35
Poland,33
Andorra,33
Croatia,32
San Marino,32
Lithuania,31
North Macedonia,31
Luxembourg,31
Romania,31
Cyprus,30
Slovenia,30
Grenada,30
Jamaica,30
Bahamas,30
Papua New Guinea,29
Latvia,29
Bulgaria,29
Suriname,28
Liechtenstein,28
Namibia,28
Costa Rica,27
Serbia,27
Malaysia,27
Greece,27
Curaçao,27
Sri Lanka,27
Bahrain,26
St. Vincent & Grenadines,26
Belize,26
Zimbabwe,26
Mongolia,25
St. Lucia,25
Cuba,25
Nigeria,25
Botswana,24
Myanmar (Burma),22
Chile,22
Antigua & Barbuda,22
Zambia,22
Qatar,22
Kuwait,21
Eswatini,21
Uruguay,20
Mauritius,20
Ghana,20
United Arab Emirates,20
Malawi,20
Georgia,20
Bosnia & Herzegovina,19
Uganda,19
Montenegro,19
Mexico,19
Kenya,17
Israel,16
Pakistan,16
Kosovo,16
Hong Kong,16
Argentina,16
Lebanon,15
Panama,15
China,15
Bhutan,15
French Polynesia,15
Albania,14
Tanzania,13
Sierra Leone,13
Thailand,13
Gambia,13
Timor-Leste,12
Nepal,12
India,12
Azerbaijan,12
Türkiye,12
Moldova,12
Rwanda,11
Honduras,11
Oman,11
El Salvador,11
Armenia,11
Egypt,11
Bangladesh,10
Cape Verde,10
Macao,10
Laos,10
Ethiopia,10
Russia,9
Mauritania,9
Paraguay,9
Jordan,9
Somalia,9
Tunisia,9
Cambodia,9
Palestine,9
Colombia,9
Morocco,9
Venezuela,9
Dominican Republic,8
Peru,8
Saudi Arabia,8
Algeria,8
Togo,8
Afghanistan,8
Bolivia,8
Guatemala,8
South Korea,8
Libya,8
Indonesia,8
Madagascar,7
Ecuador,7
France,7
Nicaragua,7
Mozambique,7
Iraq,7
Ukraine,7
Haiti,6
Belarus,6
Uzbekistan,6
Réunion,6
Kazakhstan,5
Angola,5
Vietnam,5
Iran,5
Cameroon,5
Syria,5
Gabon,4
Kyrgyzstan,4
Sudan,4
Turkmenistan,4
Taiwan,3
Mali,3
Yemen,3
Benin,3
Congo - Kinshasa,3
Senegal,3
Tajikistan,2
Côte d’Ivoire,2
Japan,2
Lesotho,
Anguilla,
Western Sahara,
Falkland Islands (Islas Malvinas),
North Korea,
Micronesia,
Palau,
South Georgia & South Sandwich Islands,
Guinea,
Svalbard & Jan Mayen,
Solomon Islands,
Dominica,
Djibouti,
Christmas Island,
Pitcairn Islands,
St. Pierre & Miquelon,
Comoros,
South Sudan,
São Tomé & Príncipe,
Guadeloupe,
Cook Islands,
Congo - Brazzaville,
Guinea-Bissau,
Equatorial Guinea,
Nauru,
Cocos (Keeling) Islands,
French Guiana,
Turks & Caicos Islands,
Chad,
Heard & McDonald Islands,
Central African Republic,
Niue,
Tokelau,
Norfolk Island,
Bouvet Island,
Tonga,
Niger,
New Caledonia,
British Indian Ocean Territory,
Tuvalu,
Mayotte,
St. Barthélemy,
Burkina Faso,
Martinique,
U.S. Outlying Islands,
Caribbean Netherlands,
Montserrat,
Kiribati,
Vatican City,
Burundi,
St. Kitts & Nevis,
British Virgin Islands,
French Southern Territories,
Marshall Islands,
Vanuatu,
Wallis & Futuna,
Antarctica,
American Samoa,
Monaco,
Liberia,
St. Martin,
Eritrea,
